ID,담당,영역,케이스,사전조건,절차,기대 결과,우선순위,플랫폼,결과,실제 결과 / 비고
T2-009,T2,스테이지 관리,커스텀 필드 삭제 후 기존 답변,답변이 있는 스테이지,1) 필드 삭제 2) 명단 상세 확인,기존 예매의 답변이 깨지지 않고 표시(T4 협업),P3,공통,,
T2-010,T2,스테이지 관리,예매 기간 검증,생성 화면,1) 종료가 시작보다 이른 값 입력 2) 저장,검증 오류로 차단,P2,공통,,
T2-011,T2,스테이지 관리,좌석 수 - 미입력(무제한),생성 화면,1) 좌석 수를 비우고 저장,"좌석 한도 없음으로 표시, 잔여석 표기가 무제한 처리",P2,공통,,
T2-012,T2,스테이지 관리,스테이지 수정,내 스테이지,1) 수정에서 제목·일시·장소·가격 변경 2) 저장,상세·공개 페이지에 즉시 반영,P1,공통,,
T2-013,T2,스테이지 관리,상태 전환 draft→open,예매기간 설정됨,1) 상세에서 티켓 오픈,"상태 배지 '티켓 오픈', 공개 페이지에서 예매 가능",P1,공통,,
T2-014,T2,스테이지 관리,상태 전환 - 예매기간 없이 오픈,booking_start/end 미설정,1) 오픈 시도,차단되고 예매기간을 먼저 설정하라는 안내,P2,공통,,
T2-015,T2,스테이지 관리,상태 전환 open→closed,오픈 상태,1) 예매 마감 클릭,공개 페이지에서 '예매가 마감되었습니다' 표시,P1,공통,,
T2-016,T2,스테이지 관리,재오픈 closed→open,마감 상태 + 좌석 여유,1) 재오픈,예매 가능 상태로 복귀(좌석/기간 조건 미충족 시 차단),P2,공통,,
T2-017,T2,스테이지 관리,자동 마감(booking_end 경과),예매 종료일시가 과거,1) 상세·공개 페이지 열기,자동으로 마감 상태로 표시되고 예매 차단,P1,공통,,
T2-018,T2,스테이지 관리,자동 종료(공연일 경과),공연일이 과거,1) 상세 열기,'스테이지 종료' 상태로 표시,P1,공통,,
T2-019,T2,스테이지 관리,예매 QR 공유 모달,스테이지 상세,1) '예매 QR 공유' 클릭,"QR 생성, 모달 내부 요소가 모달 밖으로 넘치지 않음(PC 회귀 확인)",P1,PC,,
T2-020,T2,스테이지 관리,예매 QR 저장/공유,QR 모달,1) 이미지 저장 2) 공유하기,"PNG 저장됨, 공유 시트 또는 링크 복사 폴백 동작",P2,공통,,
T2-021,T2,스테이지 관리,예매 링크 복사,스테이지 상세,1) '예매 링크 복사' 클릭 2) 붙여넣기,"복사 토스트, 붙여넣은 링크로 공개 페이지 접근",P1,공통,,
T2-022,T2,스테이지 관리,탭 정렬,스테이지 상세,1) PC에서 진행 상태 카드와 탭 폭 비교,탭이 상단 안내 폭과 어긋나지 않음(회귀),P3,PC,,
T2-023,T2,스테이지 관리,스태프 초대 발송,내 스테이지,1) 스태프 탭 2) 가입/미가입 이메일 각각 초대,"두 경우 모두 같은 성공 문구(가입 여부 노출 없음), 목록에 '대기' 표시",P1,공통,,
T2-024,T2,스테이지 관리,스태프 초대 수락,T3/T4 계정 이메일로 초대,1) 초대 메일 링크 열기 2) 로그인 후 수락,'참여 중'으로 바뀌고 그 계정의 /dashboard/events에 스테이지가 배지와 함께 표시,P1,공통,,
T2-025,T2,스테이지 관리,스태프 재발송/제외,대기·참여 중 스태프,1) 재발송 2) 제외 확인,"새 링크 발송, 제외 즉시 권한 상실(스태프 계정에서 접근 불가 확인)",P1,공통,,
T2-026,T2,스테이지 관리,스태프 상한 10명,-,1) 11번째 이메일 초대,상한 안내로 차단,P3,공통,,
T2-027,T2,스테이지 관리,스태프 초대 남발 제한,-,1) 한 계정에서 11회 연속 초대,시간당 10회 제한 안내,P3,공통,,
T2-028,T2,스테이지 관리,본인 스테이지 초대 수락,내 이메일로 내 스테이지 초대,1) 링크 열기,'본인이 만든 스테이지에는 참여할 수 없습니다' 안내,P2,공통,,
T2-029,T2,스테이지 관리,만료·재사용 초대 링크,수락 완료 또는 7일 경과 링크,1) 링크 재사용,'이미 사용된 초대' 또는 만료 안내,P2,공통,,
T2-030,T2,스테이지 관리,스테이지 삭제,예매 없는 스테이지,1) 삭제 실행,"목록에서 사라지고 공개 링크 404, 포스터 파일도 정리",P1,공통,,
T2-031,T2,스테이지 관리,스테이지 목록 정보,스테이지 2개 이상,1) /dashboard/events 확인,상태 배지·D-day·입금대기 건수·좌석 수 표기가 상세와 일치,P2,공통,,
T2-032,T2,스테이지 관리,다른 사람 스테이지 접근 차단,타인 스테이지 id,1) /dashboard/events/<타인id> 직접 입력,404 처리(정보 노출 없음),P1,공통,,
T3-001,T3,예매(참석자),공개 페이지 기본 표시,오픈된 유료 스테이지,1) /e/<slug> 열기,포스터·제목·일시·장소·가격·잔여좌석·안내가 표시,P1,공통,,
T3-002,T3,예매(참석자),공개 페이지 폭,포스터 있는 스테이지,1) PC에서 창 너비를 1400→500px로 줄이기,"600px 이상에서는 폭 고정, 그 이하에서는 100%로 흐름(회귀)",P2,PC,,
T3-003,T3,예매(참석자),예매 불가 상태 문구,draft/closed/ended 각각,1) 각 상태에서 공개 페이지 열기,상태에 맞는 안내(아직 예매 전/마감/종료)와 예매 버튼 비활성,P1,공통,,
T3-004,T3,예매(참석자),예매 기간 전/후,"시작 전, 종료 후",1) 각각 공개 페이지 열기,"'예매는 …부터', '예매 기간이 종료' 안내",P2,공통,,
T3-005,T3,예매(참석자),매수 스텝퍼,잔여 3석,1) +를 5번 누르기 2) -로 0 시도,1~잔여석 범위를 벗어나지 않고 총액이 매수에 맞게 갱신,P1,공통,,
T3-006,T3,예매(참석자),비회원 예매 정상,"로그아웃, 오픈 스테이지",1) 비회원 예매 2) 이름·이메일·비밀번호·입금자명·입금시간 입력 3) 제출,"입금 안내 화면(금액·계좌·예약번호) 표시, 신청완료 메일 수신",P1,공통,,
T3-007,T3,예매(참석자),입금자명 자동 채움,예매 폼,1) '예매자 이름과 동일합니다' 체크/해제,"체크 시 이름이 입금자명에 자동 입력, 해제 시 직접 입력 가능",P2,공통,,
T3-008,T3,예매(참석자),비회원 비밀번호 4자 미만,예매 폼,1) 비밀번호 123 입력 후 제출,검증 오류로 차단,P2,공통,,
T3-009,T3,예매(참석자),커스텀 필수 항목 미입력,필수 커스텀 필드 있는 스테이지,1) 비우고 제출,제출 차단 및 항목 표시,P1,공통,,
T3-010,T3,예매(참석자),취소 규정 노출,취소 규정 입력된 스테이지,1) 예매 폼 하단 확인 2) 조회 화면·취소 모달 확인,"제출 직전, 조회, 취소 확인 모달에서 규정이 보임",P1,공통,,
T3-011,T3,예매(참석자),계좌 복사,입금 안내 화면,1) 계좌 복사 클릭,"클립보드에 계좌 정보 복사, 토스트 표시",P2,공통,,
T3-012,T3,예매(참석자),회원 예매,로그인 상태,1) /e/<slug>에서 예매,비밀번호 입력 없이 진행되고 /dashboard/bookings에 표시,P1,공통,,
T3-013,T3,예매(참석자),무료 스테이지 예매,가격 0원 스테이지,1) 예매 제출,즉시 확정 안내 + 입장 QR 포함 메일 수신,P1,공통,,
T3-014,T3,예매(참석자),정원 초과 차단,잔여 1석,1) 두 브라우저에서 동시에 1매 제출,"한 건만 성공, 나머지는 좌석 부족 안내(초과 저장 없음)",P1,공통,,
T3-015,T3,예매(참석자),매진 표시,좌석 모두 예매됨,1) 공개 페이지 열기,"잔여 0석·매진 안내, 예매 차단",P1,공통,,
T3-016,T3,예매(참석자),추가 구매(비회원),같은 이메일로 예매 이력,1) 같은 이메일로 재예매 2) 확인 모달에서 진행 3) 기존 비밀번호 입력,"별도 예약으로 생성되고 이름·커스텀 답변은 상속, 입금정보는 새로 입력",P1,공통,,
T3-017,T3,예매(참석자),추가 구매 - 비밀번호 불일치,예매 이력 있는 이메일,1) 다른 비밀번호로 추가 구매 시도,"거부(403) 및 안내, 예약 생성되지 않음",P1,공통,,
T3-018,T3,예매(참석자),추가 구매(회원),로그인 + 예매 이력,1) 예약 상세에서 추가 구매,"별도 예약 생성, 내 티켓에 2건 표시",P2,공통,,
T3-019,T3,예매(참석자),비회원 조회 정상,비회원 예매 완료,1) /e/<slug>/me 2) 이메일+비밀번호 입력,본인 예약 전체(추가 구매 포함) 표시,P1,공통,,
T3-020,T3,예매(참석자),비회원 조회 - 비밀번호 오류,-,1) 틀린 비밀번호 입력,"조회 실패 안내, 예약 정보 노출 없음",P1,공통,,
T3-021,T3,예매(참석자),비회원 조회 - 요청 제한,-,1) 6회 연속 실패 시도,제한 안내 표시(15분 5회),P3,공통,,
T3-022,T3,예매(참석자),확정 전 QR 미노출,입금대기 상태 예약,1) 조회 화면 확인,입금대기 안내만 표시되고 입장 QR은 없음,P1,공통,,
T3-023,T3,예매(참석자),확정 후 QR 노출,입금확인 완료(T4 협업),1) 조회 화면 새로고침,매수만큼 QR과 인원 번호가 각각 표시,P1,공통,,
T3-024,T3,예매(참석자),내 티켓 목록,회원 예매 여러 건,1) /dashboard/bookings,다가오는 확정 티켓 큰 카드 + 확정/입금대기/지난 섹션 분류,P2,공통,,
T3-025,T3,예매(참석자),예약 상세 - 예매번호 표시,회원 예약,1) 예약 상세 열기,상태 배지 하단에 예매번호가 primary 색으로 표시,P2,공통,,
T3-026,T3,예매(참석자),2매 예매의 번호,2매로 예매,1) 예약 상세·QR 확인,"티켓별 인원 번호가 연속 2개(#n, #n+1)로 부여",P1,공통,,
T3-027,T3,예매(참석자),캘린더 추가,예약 상세/공개 페이지,1) 캘린더 추가 클릭,ics 다운로드 또는 캘린더 앱에 일정·장소가 정확히 들어감,P3,공통,,
T3-028,T3,예매(참석자),지도 링크,주소 입력된 스테이지,1) 지도 링크 클릭,카카오/네이버 지도에서 해당 장소가 열림,P3,공통,,
T3-029,T3,예매(참석자),셀프 취소(회원),"확정 예약, 미입장",1) 예약 상세에서 취소 2) 규정 확인 후 진행,"취소 완료 표시, 취소 메일 수신, 주최자에게 알림 메일",P1,공통,,
T3-030,T3,예매(참석자),셀프 취소(비회원),비회원 예약,1) 조회 화면에서 취소 2) 비밀번호 확인,취소 완료 및 메일 발송,P1,공통,,
T3-031,T3,예매(참석자),취소 - 이미 취소됨,취소된 예약,1) 다시 취소 시도,중복 취소 차단 안내,P2,공통,,
T3-032,T3,예매(참석자),취소 - 입장 완료 티켓,티켓 1장 이상 입장(T4 협업),1) 취소 시도,차단되고 주최자 문의 안내,P1,공통,,
T3-033,T3,예매(참석자),취소 - 종료된 스테이지,공연 종료된 예약,1) 취소 시도,차단되고 주최자 문의 안내,P2,공통,,
T3-034,T3,예매(참석자),취소 후 좌석 반환,잔여 0석에서 1건 취소,1) 취소 후 공개 페이지 확인,잔여석이 1 증가해 다시 예매 가능,P1,공통,,
T3-035,T3,예매(참석자),메일 - 신청완료(유료),유료 예매,1) 메일함 확인(스팸함 포함),계좌·금액·예약번호가 담긴 입금 안내 메일 수신,P1,공통,,
T3-036,T3,예매(참석자),메일 - 확정(QR),입금확인 처리됨,1) 메일함 확인,QR 이미지가 인라인으로 보이고 인원 번호가 각 QR에 표기,P1,공통,,
T3-037,T3,예매(참석자),메일 - 카카오/네이버/지메일 수신,각 도메인 주소 준비,1) 3개 주소로 각각 예매,"세 곳 모두 수신(스팸함 포함 확인, 미수신 시 도메인 기록)",P1,공통,,
T4-001,T4,명단·현장 운영,요약 지표 정확성,예매 여러 건(대기/확정/취소 혼합),1) 스테이지 상세 명단 탭,총 예매·입금완료(금액)·입금대기(경과일)·좌석 수치가 실제 데이터와 일치,P1,공통,,
T4-002,T4,명단·현장 운영,요약 카드 레이아웃,명단 탭,1) 모바일에서 확인 2) PC에서 확인,"모바일 2×2 배치, PC 4열, 과도한 여백 없음(회귀)",P3,공통,,
T4-003,T4,명단·현장 운영,상태 필터 칩,여러 상태 예매,1) 각 칩 클릭,"칩별 색상이 다르고 선택 시 반전, 건수와 필터 결과가 일치",P1,공통,,
T4-004,T4,명단·현장 운영,검색 - 이름·입금자명·이메일,명단,1) 각 값으로 검색,부분 일치로 정확히 필터,P1,공통,,
T4-005,T4,명단·현장 운영,검색 - 예매번호,2매 예매(#n–n+1) 포함,"1) n, n+1 각각 숫자로 검색","범위 안 어느 번호로도 검색됨, 무관한 행이 섞이지 않음",P2,공통,,
T4-006,T4,명단·현장 운영,정렬,명단,1) 이름·신청일시 헤더 클릭,오름/내림 정렬이 토글되고 표시가 정확,P3,공통,,
T4-007,T4,명단·현장 운영,입금 확인(단건),입금대기 예약,1) 상세 패널에서 입금 확인,"상태가 입금완료로 바뀌고 '입장 QR 확정 메일을 보냈어요' 토스트, 참석자 메일 수신",P1,공통,,
T4-008,T4,명단·현장 운영,입금 확인(일괄),입금대기 3건 선택,1) 체크 후 일괄 입금 확인,"3건 처리 + 처리 건수 안내, 각각 확정 메일 발송",P1,공통,,
T4-009,T4,명단·현장 운영,이미 확정된 건 재확인,확정 예약 선택,1) 입금 확인 클릭,"'이미 확정된 예매' 안내, 메일 중복 발송 없음",P2,공통,,
T4-010,T4,명단·현장 운영,확정 메일 재발송,확정 예약,1) '확정 메일 재발송' 클릭,"메일 재수신, 발송 건수 토스트",P2,공통,,
T4-011,T4,명단·현장 운영,입금 확인 되돌리기,확정 예약,1) 되돌리기 클릭,"입금대기로 복귀하고 '메일은 보내지 않아요' 안내, 메일 미발송",P2,공통,,
T4-012,T4,명단·현장 운영,주최자 취소,확정/대기 예약,1) 취소 처리,"상태 취소로 변경, 참석자에게 취소 통보 메일 발송, 좌석 반환",P1,공통,,
T4-013,T4,명단·현장 운영,예매 삭제,취소된 예약,1) 상세에서 삭제,명단에서 제거되고 번호는 재사용되지 않음,P2,공통,,
T4-014,T4,명단·현장 운영,조회 비밀번호 초기화,비회원 예약,1) 비밀번호 초기화 실행 2) 발급된 값으로 조회(T3 협업),새 비밀번호가 1회 표시되고 그 값으로 조회 성공,P2,공통,,
T4-015,T4,명단·현장 운영,상세 패널 정보,예약 선택,1) 우측 패널 확인,예약 정보·커스텀 답변·진행 타임라인·티켓별 입장 상태가 정확,P2,공통,,
T4-016,T4,명단·현장 운영,명단 내보내기(CSV),예매 여러 건,1) 내보내기 클릭 2) 엑셀/구글시트로 열기,한글이 깨지지 않고 상태·매수·금액·예매번호 범위·커스텀 답변이 정확,P1,공통,,
T4-017,T4,명단·현장 운영,명단 툴바 모바일 배치,명단 탭,1) 모바일 폭에서 확인,"검색이 한 줄, '현장 예매 추가'부터 다음 줄로 내려감(회귀)",P3,모바일,,
T4-018,T4,명단·현장 운영,QR 스캔 - 정상 입장,확정 예약의 QR,1) /dashboard/events/<id>/scan 2) 카메라 허용 3) QR 스캔,이름·입금상태·인원 번호가 표시되고 입장 완료로 기록,P1,모바일,,
T4-019,T4,명단·현장 운영,QR 스캔 - 카메라 거부,스캔 화면,1) 카메라 권한 거부,"권한 안내 문구 표시, 화면이 깨지지 않음",P2,모바일,,
T4-020,T4,명단·현장 운영,QR 스캔 - 입금대기 예약,대기 상태 예약의 QR,1) 스캔,"경고 표시, 입장 처리되지 않음",P1,모바일,,
T4-021,T4,명단·현장 운영,QR 스캔 - 재입장 시도,이미 입장 처리된 QR,1) 다시 스캔,"'재입장 시도' 경고, 중복 기록 없음",P1,모바일,,
T4-022,T4,명단·현장 운영,QR 스캔 - 취소된 예약,취소된 예약의 QR,1) 스캔,입장 불가 안내,P1,모바일,,
T4-023,T4,명단·현장 운영,QR 스캔 - 잘못된 QR,임의의 QR 코드,1) 스캔,"유효하지 않다는 안내, 오류 화면 없음",P2,모바일,,
T4-024,T4,명단·현장 운영,동시 스캔 방지,같은 QR 2대에서,1) 거의 동시에 스캔,한 번만 입장 처리되고 다른 쪽은 재입장 경고,P2,모바일,,
T4-025,T4,명단·현장 운영,수동(강제) 입장,"확정 예약, 2매",1) 상세 패널에서 티켓 1장만 입장 처리,"해당 티켓만 입장 완료, 나머지는 미입장 유지",P1,공통,,
T4-026,T4,명단·현장 운영,현장 예매 - 마감/종료 상태,closed 또는 ended 스테이지,1) '현장 예매 추가'로 등록,상태와 무관하게 등록되고 명단에 표시,P1,공통,,
T4-027,T4,명단·현장 운영,현장 예매 - 좌석 초과,잔여 0석,1) 현장 예매 등록 시도,좌석 부족으로 차단,P1,공통,,
T4-028,T4,명단·현장 운영,현장 예매 - 중복 이메일,이미 예매한 이메일,1) 같은 이메일로 등록,확인 후 추가 예약으로 등록됨,P2,공통,,
T4-029,T4,명단·현장 운영,현장 예매 - 비밀번호 자동발급,현장 예매 등록,1) 등록 완료 화면 확인 2) 그 값으로 비회원 조회(T3 협업),4자리 숫자가 1회 표시되고 그 값으로 조회 성공,P1,공통,,
T4-030,T4,명단·현장 운영,현장 예매 - 바로 입금확인,유료 스테이지,1) '바로 입금확인' 체크 후 등록,즉시 확정 + 입장 QR 메일 발송,P1,공통,,
T4-031,T4,명단·현장 운영,현장 예매 - 입금 대기로 등록,유료 스테이지,1) 체크 해제 후 등록,입금대기로 생성되고 입금 안내 메일 발송,P2,공통,,
T4-032,T4,명단·현장 운영,추첨 - 후보 조건,"입장 완료 3건, 미입장 2건",1) 추첨 탭에서 대상 수 확인,입장 완료된 티켓만 후보로 집계(취소 예매 제외),P1,공통,,
T4-033,T4,명단·현장 운영,추첨 - 티켓 단위,2매 중 1매만 입장,1) 후보 확인,입장한 1장만 후보(예매 단위가 아님),P1,공통,,
T4-034,T4,명단·현장 운영,추첨 실행/모달,후보 있음,1) 뽑을 인원 1 입력 2) 추첨하기,모달에서 실제 후보 번호가 굴러가고(1.6초 이상) 당첨 번호가 크게 표시,P1,공통,,
T4-035,T4,명단·현장 운영,추첨 - 이전 당첨자 제외,1회차 완료,1) 제외 체크 유지하고 2회차 추첨,"이전 당첨 티켓이 다시 뽑히지 않음, 같은 예매의 미당첨 동반자는 후보 유지",P1,공통,,
T4-036,T4,명단·현장 운영,추첨 기록 유지,2회차 이상,1) 새로고침·재접속,회차별 기록이 유지되어 표시,P1,공통,,
T4-037,T4,명단·현장 운영,추첨 결과 마스킹,당첨 발생,1) 결과 확인,"이름은 김*영 형태, 이메일은 앞 4자만 노출(짧은 로컬파트는 첫 글자만)",P1,공통,,
T4-038,T4,명단·현장 운영,추첨 - 후보 없음,입장 완료 0건,1) 추첨 탭 확인,추첨 버튼 비활성 + 안내 문구,P2,공통,,
T4-039,T4,명단·현장 운영,추첨 기록 초기화,기록 있음,1) 소유자로 초기화 실행,기록 삭제 후 후보 전체 복귀,P2,공통,,
T4-040,T4,명단·현장 운영,스태프 권한 - 숨김 확인,스태프로 수락한 계정,1) 스테이지 상세 열기,수정/삭제/상태 전환/스태프 탭이 보이지 않고 헤더에 '스태프' 배지,P1,공통,,
T4-041,T4,명단·현장 운영,스태프 권한 - 허용 동작,스태프 계정,1) 입금 확인·QR 입장·현장 예매·추첨·CSV 내보내기 수행,모두 정상 동작,P1,공통,,
T4-042,T4,명단·현장 운영,스태프 권한 - 금지 동작,스태프 계정,1) 명단 상세에서 삭제 버튼 2) 추첨 기록 초기화 확인,삭제 버튼과 초기화 버튼이 노출되지 않음,P1,공통,,
T4-043,T4,명단·현장 운영,스태프 권한 - URL 우회,스태프 계정,1) /dashboard/events/<id>/edit 직접 접근,접근 차단(수정 불가),P1,공통,,
T4-044,T4,명단·현장 운영,스태프 자진 탈퇴,스태프 계정,1) 스태프 그만두기 실행,목록에서 스테이지가 사라지고 접근 불가,P3,공통,,
T1-034,T1,공통·비기능,한글 폰트 적용,임의 화면,1) 본문 글꼴 확인(PC·모바일),Pretendard로 렌더되고 자모 깨짐·굵기 이상 없음,P2,공통,,
